step,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30
0,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881
1,6.0,5.906890595608519,6.0,5.954196310386875,5.727920454563199,5.727920454563199,5.727920454563199,6.0,5.954196310386875,6.0,5.930737337562887,5.727920454563199,6.0,5.906890595608519,5.954196310386875,5.906890595608519,6.0,5.930737337562887,6.0,5.930737337562887,6.0,5.906890595608519,6.0,5.727920454563199,6.0,5.727920454563199,5.930737337562887,6.0,5.930737337562887,5.930737337562887
2,4.087462841250339,3.807354922057604,3.584962500721156,3.321928094887362,2.584962500721156,3.700439718141092,3.169925001442312,3.169925001442312,3.4594316186372973,3.584962500721156,3.584962500721156,3.807354922057604,4.087462841250339,3.584962500721156,3.4594316186372973,3.807354922057604,4.087462841250339,3.169925001442312,4.087462841250339,3.169925001442312,3.169925001442312,3.169925001442312,3.584962500721156,3.169925001442312,3.807354922057604,3.700439718141092,3.584962500721156,3.584962500721156,3.321928094887362,4.0
3,1.0,2.321928094887362,1.584962500721156,2.0,1.0,1.584962500721156,1.0,2.0,1.0,1.584962500721156,1.0,1.584962500721156,2.0,2.0,2.0,1.0,2.0,0.0,1.584962500721156,1.0,2.0,0.0,2.0,0.0,2.321928094887362,1.584962500721156,2.0,1.0,1.584962500721156,1.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
