step,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30
0,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881
1,6.149747119504682,6.149747119504682,5.906890595608519,6.149747119504682,5.906890595608519,5.754887502163468,5.672425341971495,5.672425341971495,5.672425341971495,5.754887502163468,6.149747119504682,6.0,6.149747119504682,5.906890595608519,6.149747119504682,5.672425341971495,6.149747119504682,5.754887502163468,6.149747119504682,5.754887502163468,5.672425341971495,6.0,5.906890595608519,5.672425341971495,6.0,5.754887502163468,6.149747119504682,5.754887502163468,5.672425341971495,5.906890595608519
2,4.087462841250339,4.087462841250339,3.9068905956085187,4.087462841250339,3.9068905956085187,4.0,3.584962500721156,3.807354922057604,3.9068905956085187,3.321928094887362,4.087462841250339,4.321928094887363,4.247927513443585,3.9068905956085187,4.247927513443585,3.9068905956085187,4.087462841250339,4.0,4.169925001442312,3.700439718141092,3.9068905956085187,4.321928094887363,3.9068905956085187,3.584962500721156,3.700439718141092,3.321928094887362,4.169925001442312,3.321928094887362,3.321928094887362,3.807354922057604
3,2.0,2.0,2.321928094887362,1.584962500721156,1.0,1.584962500721156,2.0,1.0,1.584962500721156,1.584962500721156,1.0,3.0,2.321928094887362,2.321928094887362,2.321928094887362,2.321928094887362,1.584962500721156,1.0,1.0,2.0,1.584962500721156,0.0,2.321928094887362,1.584962500721156,2.321928094887362,1.584962500721156,2.0,1.0,0.0,2.321928094887362
4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.584962500721156,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
